Location,Core name,Lat,Lon,O2,O2_sd,Cib Species,Globobulimina species,dd13C,dd13C_sd,type,reference,Group,is_outlier,low_o2,is_foram_only,use_all_calib,use_sub_calib,calibration_decision
Pacific,KNR195-5-MC-33B,-3.223583,-82.914167,134,3.6,C.wuellerstorfi,G.affinis,1.1865,0.262607121000173,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
"North
Atlantic",K-104-10-1,41.5,-64,275,2,NA,NA,4.24,0.33,"bottom and pore
water","McCorkle and Emerson
(1988)",Other,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
"North
Atlantic",K-104-10-3,42,-65,270,1,NA,NA,3.62,0.19,"bottom and pore
water","McCorkle and Emerson
(1988)",Other,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-4,42,-65,267,1,NA,NA,3.67,0.13,bottom and pore water,McCorkle and Emerson (1988),BPW,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,Site B,57.4,-15.7,233,7,NA,NA,2.25,0.07,bottom and pore water,"Papadimitriou et al. (2004); assumed 13C 1‰ bottom water from nearby GLODAP
data ~ 1000 m water depth. 0.2‰ uncertainty added",BPW,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
Eastern Pacific,TT-163-10,24.5,-114,127,5,NA,NA,1.36,0.03,bottom and pore water,McCorkle and Emerson (1988),BPW,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
Eastern Pacific,"MANOP
Site M BC- 20",9,-104,114,4,NA,NA,1.33,0,bottom and pore water,McCorkle and Emerson (1988),BPW,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,Station A,44.2,-2.3,188,1,NA,"bottom water and
G. affinis (RB stained)",2.03,0,"bottom water and
Globobulimina (spp.)",Fontanier et al. (2006),BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,Station H,44.5,-2.6,256,0,NA,"bottom water and
G. affinis (RB stained)",3.26,0,"bottom water and
Globobulimina (spp.)",Fontanier et al. (2006),BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-1 (2),41.5,-64,272,4,NA,"bottom water and stained)
G. affinis (RB",3.91,0,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-2 (1),42,-64.7,270,3,NA,"bottom water and
G. affinis (RB stained)",3.1,0.07,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-3 (1),42,-65,270,1,NA,"bottom water and
G. affinis (RB stained)",2.88,0.2,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-3 (2),42,-65,270,1,NA,"bottom water and
G. affinis (RB stained)",2.96,0.07,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
North Atlantic,K-104-10-4 (1),42,-65,267,1,NA,"bottom water and
G. affinis (RB stained)",2.47,0,"bottom water and
Globobulimina (spp.)",McCorkle et al. 1990,BWG,FALSE,FALSE,FALSE,FALSE,FALSE,not_foram_only
